source,target,edge_type,status
GoodStudent,SocioEcon,tail-tail,accepted
Age,GoodStudent,directed,accepted
Age,SocioEcon,tail-tail,accepted
Age,RiskAversion,directed,accepted
Age,DrivingSkill,partial,accepted
Age,SeniorTrain,directed,accepted
SocioEcon,GoodStudent,tail-tail,accepted
SocioEcon,Age,tail-tail,accepted
SocioEcon,RiskAversion,tail-tail,accepted
SocioEcon,VehicleYear,partial,accepted
SocioEcon,MakeModel,partial,accepted
SocioEcon,HomeBase,directed,accepted
SocioEcon,AntiTheft,tail-tail,accepted
SocioEcon,OtherCar,partial,accepted
RiskAversion,SocioEcon,tail-tail,accepted
RiskAversion,DrivQuality,directed,accepted
RiskAversion,SeniorTrain,directed,accepted
RiskAversion,HomeBase,directed,accepted
RiskAversion,AntiTheft,directed,accepted
RiskAversion,DrivHist,tail-tail,accepted
VehicleYear,RuggedAuto,partial,accepted
VehicleYear,Antilock,partial,accepted
VehicleYear,CarValue,partial,accepted
VehicleYear,Airbag,partial,accepted
ThisCarDam,ThisCarCost,directed,accepted
RuggedAuto,MakeModel,partial,accepted
RuggedAuto,Cushioning,directed,accepted
Accident,ThisCarDam,directed,accepted
Accident,Mileage,partial,accepted
Accident,OtherCarCost,directed,accepted
Accident,MedCost,tail-tail,accepted
Accident,ILiCost,directed,accepted
MakeModel,Antilock,partial,accepted
MakeModel,CarValue,partial,accepted
MakeModel,Airbag,partial,accepted
DrivQuality,Accident,directed,accepted
Mileage,CarValue,partial,accepted
Antilock,Accident,directed,accepted
DrivingSkill,DrivQuality,directed,accepted
DrivingSkill,DrivHist,partial,accepted
ThisCarCost,CarValue,tail-tail,accepted
ThisCarCost,PropCost,directed,accepted
CarValue,ThisCarCost,tail-tail,accepted
AntiTheft,SocioEcon,tail-tail,accepted
OtherCarCost,PropCost,directed,accepted
MedCost,Accident,tail-tail,accepted
Cushioning,MedCost,directed,accepted
Airbag,Cushioning,directed,accepted
DrivHist,RiskAversion,tail-tail,accepted
